url,born,height,weight,games,debut,last
https://afltables.com/afl/stats/players/J/Jim_Allen.html,1912-11-25,181,80,1,1935-09-07,1935-09-07
https://afltables.com/afl/stats/players/L/Les_Allen.html,1911-03-07,178,72,70,1930-05-17,1934-08-18
https://afltables.com/afl/stats/players/O/Oscar_Allen.html,1999-03-19,192,87,20,2018-07-08,2019-08-04
https://afltables.com/afl/stats/players/R/Roy_Allen.html,1901-03-27,180,74,2,1924-05-10,1924-05-31
https://afltables.com/afl/stats/players/S/Scott_Allen.html,1975-01-30,182,84,15,1994-03-26,1997-07-05
https://afltables.com/afl/stats/players/T/Tim_Allen.html,1970-10-12,191,85,34,1991-07-27,1995-09-02
https://afltables.com/afl/stats/players/T/Tom_Allen.html,1930-04-18,180,83,22,1949-07-23,1952-07-05
https://afltables.com/afl/stats/players/T/Tommy_Allen.html,1914-09-10,173,80,26,1936-07-11,1938-04-30
https://afltables.com/afl/stats/players/H/Henry_Allender.html,1872-03-25,NA,NA,1,1899-05-13,1899-05-13
https://afltables.com/afl/stats/players/S/Stephen_Allender.html,1960-07-24,194,83,30,1981-05-02,1984-05-19
https://afltables.com/afl/stats/players/N/Ned_Alley.html,1881-07-30,173,71,16,1902-05-03,1903-05-16
https://afltables.com/afl/stats/players/G/Grant_Allford.html,1950-12-05,184,80,30,1971-07-10,1973-09-08
https://afltables.com/afl/stats/players/B/Bobby_Allison.html,1895-12-03,168,65,54,1920-05-26,1926-09-04
https://afltables.com/afl/stats/players/B/Brett_Allison.html,1968-05-26,182,78,228,1987-04-03,2000-06-11
https://afltables.com/afl/stats/players/J/Jacob_Allison.html,1998-04-16,193,82,10,2017-07-30,2019-06-22
https://afltables.com/afl/stats/players/N/Neil_Allison.html,1912-10-11,171,74,34,1934-05-05,1939-06-24
https://afltables.com/afl/stats/players/T/Tom_Allison.html,1944-02-29,175,72,106,NA,NA
https://afltables.com/afl/stats/players/J/Jack_Allister.html,1919-03-15,173,77,59,1938-05-28,1945-08-11
https://afltables.com/afl/stats/players/R/Ray_Allsop.html,1933-12-20,166,71,54,1955-05-28,1959-08-29
