Club,Year,Members
St Kilda,1986,4321
Sydney,1986,4927
West Coast,1986,NA
Western Bulldogs,1986,NA
Adelaide,1985,NA
Brisbane,1985,NA
Carlton,1985,13317
Collingwood,1985,16857
Essendon,1985,11376
Fitzroy,1985,NA
Fremantle,1985,NA
Geelong,1985,7718
Gold Coast,1985,NA
Greater Western Sydney,1985,NA
Hawthorn,1985,7713
Melbourne,1985,5801
North Melbourne,1985,6520
Port Adelaide,1985,NA
Richmond,1985,NA
St Kilda,1985,5708
Sydney,1985,2777
West Coast,1985,NA
Western Bulldogs,1985,NA
Adelaide,1984,NA
Brisbane,1984,NA
Carlton,1984,12774
Collingwood,1984,16313
Essendon,1984,10231
Fitzroy,1984,NA
Fremantle,1984,NA
Geelong,1984,7709
Gold Coast,1984,NA
Greater Western Sydney,1984,NA
Hawthorn,1984,8051
Melbourne,1984,6297
North Melbourne,1984,6374
Port Adelaide,1984,NA
Richmond,1984,NA
St Kilda,1984,4930
Sydney,1984,2750
West Coast,1984,NA
Western Bulldogs,1984,NA
